"Date","Price","Open","High","Low","Change %"
"Apr 14","0.09500","0.09490","0.09700","0.09310","0.11%"
"Mar 14","0.09490","0.09300","0.09520","0.09070","2.04%"
"Feb 14","0.09300","0.08950","0.09380","0.08820","3.45%"
"Jan 14","0.08990","0.09500","0.09590","0.08740","-5.67%"
"Dec 13","0.09530","0.09760","0.09920","0.09410","-3.05%"
"Nov 13","0.09830","0.09900","0.10000","0.09520","-1.21%"
"Oct 13","0.09950","0.09970","0.10340","0.09810","-0.20%"
"Sep 13","0.09970","0.09690","0.10480","0.09620","2.47%"
"Aug 13","0.09730","0.10080","0.10330","0.09480","-3.95%"
"Jul 13","0.10130","0.10100","0.10460","0.09680","0.10%"
"Jun 13","0.10120","0.09890","0.10400","0.09600","2.12%"
"May 13","0.09910","0.11140","0.11290","0.09680","-11.12%"
"Apr 13","0.11150","0.10810","0.11290","0.10700","2.95%"
"Mar 13","0.10830","0.11090","0.11140","0.10630","-2.43%"
"Feb 13","0.11100","0.11170","0.11400","0.11030","-0.54%"
"Jan 13","0.11160","0.11820","0.11890","0.10880","-5.66%"
"Dec 12","0.11830","0.11170","0.11920","0.11150","5.16%"
"Nov 12","0.11250","0.11530","0.11650","0.11060","-2.43%"
"Oct 12","0.11530","0.12010","0.12190","0.11090","-4.16%"
"Sep 12","0.12030","0.11860","0.12310","0.11720","1.01%"
"Aug 12","0.11910","0.12090","0.12410","0.11670","-1.65%"
"Jul 12","0.12110","0.12250","0.12480","0.11630","-1.14%"
"Jun 12","0.12250","0.11720","0.12270","0.11420","4.43%"
"May 12","0.11730","0.12850","0.13010","0.11600","-8.86%"
"Apr 12","0.12870","0.13090","0.13150","0.12350","-1.23%"
"Mar 12","0.13030","0.13310","0.13480","0.12780","-2.25%"
"Feb 12","0.13330","0.12700","0.13520","0.12580","4.30%"
"Jan 12","0.12780","0.12350","0.13000","0.12060","3.40%"
"Dec 11","0.12360","0.12310","0.12610","0.11760","0.32%"
"Nov 11","0.12320","0.12530","0.12850","0.11550","-2.07%"
"Oct 11","0.12580","0.12290","0.13040","0.11920","1.86%"
"Sep 11","0.12350","0.14270","0.14430","0.11710","-13.58%"
"Aug 11","0.14290","0.14920","0.15060","0.13210","-4.35%"
"Jul 11","0.14940","0.14710","0.15140","0.14120","1.15%"
"Jun 11","0.14770","0.14660","0.15040","0.14310","0.54%"
"May 11","0.14690","0.15220","0.15260","0.14060","-3.48%"
"Apr 11","0.15220","0.14750","0.15240","0.14420","3.05%"
