Date	Price				Country Name	Country Code	Series Name	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Dec-00	0.5128	0.546041667																																
Nov-00	0.5052																																	
Oct-00	0.5263																																	
Sep-00	0.5424																																	
Aug-00	0.5484																																	
Jul-00	0.5607																																	
Jun-00	0.5534																																	
May-00	0.5483																																	
Apr-00	0.554																																	
Mar-00	0.5749																																	
Feb-00	0.5656																																	
Jan-00	0.5605																																	
Dec-99	0.5539	0.540416667																																
Nov-99	0.52																																	
Oct-99	0.5133																																	
Sep-99	0.5163																																	
Aug-99	0.5214																																	
Jul-99	0.5546																																	
Jun-99	0.5705																																	
May-99	0.5814																																	
Apr-99	0.6004																																	
Mar-99	0.5822																																	
Feb-99	0.4914																																	
Jan-99	0.4796																																	
Dec-98	0.8276	0.859625																																
Nov-98	0.8323																																	
Oct-98	0.8383																																	
Sep-98	0.8444																																	
Aug-98	0.8498																																	
Jul-98	0.8599																																	
Jun-98	0.8646																																	
May-98	0.8692																																	
Apr-98	0.8745																																	
Mar-98	0.8795																																	
Feb-98	0.885																																	
Jan-98	0.8904																																	
Dec-97	0.896	0.925866667																																
Nov-97	0.9017																																	
Oct-97	0.9069																																	
Sep-97	0.9124																																	
Aug-97	0.916																																	
Jul-97	0.9234																																	
Jun-97	0.9289																																	
May-97	0.9343																																	
Apr-97	0.9403																																	
Mar-97	0.9427																																	
Feb-97	0.9515																																	
Jan-97	0.9563																																	
Dec-96	0.9624	0.992416667																																
Nov-96	0.9683																																	
Oct-96	0.9732																																	
Sep-96	0.9792																																	
Aug-96	0.9838																																	
Jul-96	0.9859																																	
Jun-96	0.9959																																	
May-96	1.0017																																	
Apr-96	1.008																																	
Mar-96	1.0125																																	
Feb-96	1.0157																																	
Jan-96	1.0224																																	
Oct-95	8.555	8.89572																																
Sep-95	8.6028																																	
Aug-95	8.657																																	
Jul-95	8.6597																																	
Jun-95	8.716																																	
May-95	8.8239																																	
Apr-95	9.0573																																	
Mar-95	9.1841																																	
Feb-95	9.4892																																	
Jan-95	9.2122																																	
Dec-94	9.3795	11.21394167																																
Nov-94	10.1057																																	
Oct-94	10.084																																	
Sep-94	9.9883																																	
Aug-94	10.2689																																	
Jul-94	10.1888																																	
Jun-94	10.1427																																	
May-94	9.6755																																	
Apr-94	9.3134																																	
Mar-94	10.1421																																	
Feb-94	14.8222																																	
Jan-94	20.4562																																	
Dec-93	19.4566	175.8673917																																
Nov-93	27.8417																																	
Oct-93	40.4106																																	
Sep-93	55.6959																																	
Aug-93	76.1618																																	
Jul-93	102.8786																																	
Jun-93	141.2059																																	
May-93	187.8361																																	
Apr-93	243.9487																																	
Mar-93	319.4972																																	
Feb-93	422.0735																																	
Jan-93	473.4021																																	
Dec-92	602.3071	242.14788																																
Nov-92	783.7081																																	
Oct-92	"1,028.64"																																	
Sep-92	0.9949																																	
Aug-92	1.0485																																	
Jul-92	1.0119																																	
Jun-92	0.9934																																	
May-92	0.9379																																	
Apr-92	0.9206																																	
Mar-92	0.9152																																	
																																		
																																		
																																		
																																		
